Product Title,Price,Rating,Reviews,Link
"Tribit Updated Version XSound Go Wireless Bluetooth 5.3 Speakers with Loud Stereo Sound & Rich Bass 16W,24H Playtime,150 ft Bluetooth Range,Outdoor Lightweight IPX7 Waterproof,Built-in Mic (Black)",INR 2538,4.4,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTQxMjk5NzQwMTQ2ODAyOjE3NjA1ODYwNTg6c3BfYXRmOjMwMDIzOTU5MDc4MzUzMjo6MDo6&url=%2FBluetooth-Tribit-Upgraded-Portable-Waterproof%2Fdp%2FB078S4P3J9%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.tkVwTejWhUVeTvm-IEo2GFbHszxlPjUOl8zv_1GtZTNDw7wk2R-an-D23WQ_oyHu6Rw5U4Aw8FDNJrcg29KG19DPXRfuf6JkQKZXK3o9RlJqAPL59lWYOCiMX91MrOF2l-mpa1ZIrdYzHRC6GMlpkJ_SbeORYzmUBWx7bGBh4Gkkyi2dnkPb27x5AdmeOPVguMQ17cn3dQPa7dtuOzXbdXWthnfo3oA4i2eyuN7knQY.gw2VPAWM8PKizBBFdy99rgMUKVJqTLXnys0Gj6uOaDY%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bspeaker%26qid%3D1760586058%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=z02y2hDDdH&sp_cr=ZAZ
"Tribit StormBox Mini+ Bluetooth Speaker 12W,360°Surround Sound,Custom EQ,12H Playtime,BT 5.4,AAC/SBC Support,LED Lights,IPX7 Waterproof,TWS Pairing,Type-C, Portable for Home/Outdoor/Travel Black",INR 2299,4.4,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MTQxMjk5NzQwMTQ2ODAyOjE3NjA1ODYwNTg6c3BfYXRmOjMwMDY1ODE2MjE5NjMzMjo6MDo6&url=%2FTribit-StormBox-Bluetooth-360%25C2%25B0Surround-Waterproof%2Fdp%2FB0DSVRLMV5%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.tkVwTejWhUVeTvm-IEo2GFbHszxlPjUOl8zv_1GtZTNDw7wk2R-an-D23WQ_oyHu6Rw5U4Aw8FDNJrcg29KG19DPXRfuf6JkQKZXK3o9RlJqAPL59lWYOCiMX91MrOF2l-mpa1ZIrdYzHRC6GMlpkJ_SbeORYzmUBWx7bGBh4Gkkyi2dnkPb27x5AdmeOPVguMQ17cn3dQPa7dtuOzXbdXWthnfo3oA4i2eyuN7knQY.gw2VPAWM8PKizBBFdy99rgMUKVJqTLXnys0Gj6uOaDY%26dib_tag%3Dse%26keywords%3Dbluetooth%2Bspeaker%26qid%3D1760586058%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=lwAFHK8pvx&sp_cr=ZAZ
"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Function. (Black)",INR 439,3.8,N/A,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNV41FT/ref=sr_1_3?dib=eyJ2IjoiMSJ9.tkVwTejWhUVeTvm-IEo2GFbHszxlPjUOl8zv_1GtZTNDw7wk2R-an-D23WQ_oyHu6Rw5U4Aw8FDNJrcg29KG19DPXRfuf6JkQKZXK3o9RlJqAPL59lWYOCiMX91MrOF2l-mpa1ZIrdYzHRC6GMlpkJ_SbeORYzmUBWx7bGBh4Gkkyi2dnkPb27x5AdmeOPVguMQ17cn3dQPa7dtuOzXbdXWthnfo3oA4i2eyuN7knQY.gw2VPAWM8PKizBBFdy99rgMUKVJqTLXnys0Gj6uOaDY&dib_tag=se&keywords=bluetooth+speaker&qid=1760586058&sr=8-3
"boAt Aavante Bar 490 10W Signature Sound, Dual Full-Range Drivers,7 HRS Battery, Built-in Mic,2.0 CH, Free Music Streaming on JioSaavn, Bluetooth Sound Bar, Soundbar Speaker (Classic Black)",INR 999,3.9,N/A,https://www.amazon.in/boAt-Aavante-Bar-490-Full-Range/dp/B0CH3G9VR2/ref=sr_1_4?dib=eyJ2IjoiMSJ9.tkVwTejWhUVeTvm-IEo2GFbHszxlPjUOl8zv_1GtZTNDw7wk2R-an-D23WQ_oyHu6Rw5U4Aw8FDNJrcg29KG19DPXRfuf6JkQKZXK3o9RlJqAPL59lWYOCiMX91MrOF2l-mpa1ZIrdYzHRC6GMlpkJ_SbeORYzmUBWx7bGBh4Gkkyi2dnkPb27x5AdmeOPVguMQ17cn3dQPa7dtuOzXbdXWthnfo3oA4i2eyuN7knQY.gw2VPAWM8PKizBBFdy99rgMUKVJqTLXnys0Gj6uOaDY&dib_tag=se&keywords=bluetooth+speaker&qid=1760586058&sr=8-4
TEMPT CineBar 24W Portable Wireless Soundbar | Dual Bass | RGB LED | 8H Backup | Bluetooth v5.4 | Multi-Connectivity (Black),INR 1498,N/A,N/A,https://www.amazon.in/TEMPT-CineBar-Soundbar-Bluetooth-Multi-connectivity/dp/B0FPLD5WW6/ref=sr_1_5?dib=eyJ2IjoiMSJ9.tkVwTejWhUVeTvm-IEo2GFbHszxlPjUOl8zv_1GtZTNDw7wk2R-an-D23WQ_oyHu6Rw5U4Aw8FDNJrcg29KG19DPXRfuf6JkQKZXK3o9RlJqAPL59lWYOCiMX91MrOF2l-mpa1ZIrdYzHRC6GMlpkJ_SbeORYzmUBWx7bGBh4Gkkyi2dnkPb27x5AdmeOPVguMQ17cn3dQPa7dtuOzXbdXWthnfo3oA4i2eyuN7knQY.gw2VPAWM8PKizBBFdy99rgMUKVJqTLXnys0Gj6uOaDY&dib_tag=se&keywords=bluetooth+speaker&qid=1760586058&sr=8-5
"JYX Karaoke Machine With 2 Wireless Microphones,Portable Bluetooth Speaker For Adults & Kids,PA System Singing Karaoke Speaker With LED Lights,Supports TF Card/USB, AUX In,TWS For Party, Black",INR 11759,4.1,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTM5OTcyMTM1MTk4NTE6MTc2MDU4NjA1ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwMzU3MjY4NDI5NDMyOjowOjo&url=%2FJYX-Wireless-Microphones-Portable-Bluetooth%2Fdp%2FB0DB7379NB%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%253Aamzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%26cv_ct_cx%3Dbluetooth%2Bspeaker%26keywords%3Dbluetooth%2Bspeaker%26pd_rd_i%3DB0DB7379NB%26pd_rd_r%3D753a3f98-d71c-4010-803c-32daeff01549%26pd_rd_w%3DigM0b%26pd_rd_wg%3DoGxII%26pf_rd_p%3D7d24a1f6-077e-4200-9faf-bce027074aa5%26pf_rd_r%3DCYZ5AKV7CYRMHNSY6N45%26qid%3D1760586058%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=jrJ31Ncd4f&sp_cr=ZAZ
"ZEBRONICS Studio X One, 240W, 8 Hrs, 9000 mAh, Bluetooth Speaker, 45W Rapid Charge, Dual Wireless Mic, Karaoke, Recorder, Guitar Control, OTG Live Stream, 2.4GHz Transceiver, XLR/6.3mm Hybrid Port",INR 26979,4.3,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTM5OTcyMTM1MTk4NTE6MTc2MDU4NjA1ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNDYzMTQ1NTM5MjMyOjoxOjo&url=%2FZEBRONICS-Bluetooth-Wireless-Recorder-Transceiver%2Fdp%2FB0DPHZ8SZZ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%253Aamzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%26cv_ct_cx%3Dbluetooth%2Bspeaker%26keywords%3Dbluetooth%2Bspeaker%26pd_rd_i%3DB0DPHZ8SZZ%26pd_rd_r%3D753a3f98-d71c-4010-803c-32daeff01549%26pd_rd_w%3DigM0b%26pd_rd_wg%3DoGxII%26pf_rd_p%3D7d24a1f6-077e-4200-9faf-bce027074aa5%26pf_rd_r%3DCYZ5AKV7CYRMHNSY6N45%26qid%3D1760586058%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=8u1RGNIupc&sp_cr=ZAZ
"Sonos Era 300 | Spatial Audio Smart Speaker with WiFi, Bluetooth, Amazon Alexa, Dolby Atmos - Black",INR 40799,4.3,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTM5OTcyMTM1MTk4NTE6MTc2MDU4NjA1ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNjAxMjc4MjUxNjMyOjoyOjo&url=%2FSonos-Era-300-Wireless-Speaker%2Fdp%2FB0CKKZV1BQ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%253Aamzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%26cv_ct_cx%3Dbluetooth%2Bspeaker%26keywords%3Dbluetooth%2Bspeaker%26pd_rd_i%3DB0CKKZV1BQ%26pd_rd_r%3D753a3f98-d71c-4010-803c-32daeff01549%26pd_rd_w%3DigM0b%26pd_rd_wg%3DoGxII%26pf_rd_p%3D7d24a1f6-077e-4200-9faf-bce027074aa5%26pf_rd_r%3DCYZ5AKV7CYRMHNSY6N45%26qid%3D1760586058%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=u4Fo8eBEA1&sp_cr=ZAZ
"Tribit StormBox Mini+ Bluetooth Speaker 12W,360°Surround Sound,Custom EQ,12H Playtime,BT 5.4,AAC/SBC Support,LED Lights,IPX7 Waterproof,TWS Pairing,Type-C, Portable for Home/Outdoor/Travel Black",INR 2299,4.4,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTM5OTcyMTM1MTk4NTE6MTc2MDU4NjA1ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNjU4MTYyMTk2MzMyOjozOjo&url=%2FTribit-StormBox-Bluetooth-360%25C2%25B0Surround-Waterproof%2Fdp%2FB0DSVRLMV5%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%253Aamzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%26cv_ct_cx%3Dbluetooth%2Bspeaker%26keywords%3Dbluetooth%2Bspeaker%26pd_rd_i%3DB0DSVRLMV5%26pd_rd_r%3D753a3f98-d71c-4010-803c-32daeff01549%26pd_rd_w%3DigM0b%26pd_rd_wg%3DoGxII%26pf_rd_p%3D7d24a1f6-077e-4200-9faf-bce027074aa5%26pf_rd_r%3DCYZ5AKV7CYRMHNSY6N45%26qid%3D1760586058%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=lwAFHK8pvx&sp_cr=ZAZ
"Portronics Fynix 30W HD Sound Portable Bluetooth Speaker with Dual Passive Radiator, 360° Surround Sound, Upto 6 Hours, Handsfree Calling, TWS Pairing, Bluetooth 5.3V, Type C Charging(Black)",INR 2199,4.3,N/A,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo5MTM5OTcyMTM1MTk4NTE6MTc2MDU4NjA1ODpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNTk2MjE2NDI1MDMyOjo0Ojo&url=%2FPortronics-Portable-Bluetooth-Radiator-Handsfree%2Fdp%2FB0F3JNTJ7K%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%253Aamzn1.sym.7d24a1f6-077e-4200-9faf-bce027074aa5%26cv_ct_cx%3Dbluetooth%2Bspeaker%26keywords%3Dbluetooth%2Bspeaker%26pd_rd_i%3DB0F3JNTJ7K%26pd_rd_r%3D753a3f98-d71c-4010-803c-32daeff01549%26pd_rd_w%3DigM0b%26pd_rd_wg%3DoGxII%26pf_rd_p%3D7d24a1f6-077e-4200-9faf-bce027074aa5%26pf_rd_r%3DCYZ5AKV7CYRMHNSY6N45%26qid%3D1760586058%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-4e480fe6-dd02-46af-8da7-58088322ef64-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=0tBCz3Axvy&sp_cr=ZAZ
